178.41	33.42
178.791	33.42
179.172	33.42
179.553	-71.75
179.934	-51.16
180.316	-59.16
180.697	-63.17
181.078	-40.29
181.459	-77.47
181.84	-64.88
182.221	3.14
182.602	-12.86
182.983	3.14
183.364	14.57
183.744	51.12
184.125	57.97
184.506	100.78
184.887	109.33
185.268	126.45
185.648	154.96
186.029	161.8
186.41	190.3
186.791	209.67
187.171	255.8
187.552	387.18
187.932	383.77
188.313	433.2
188.694	429.79
189.074	450.23
189.455	486.56
189.835	526.83
190.216	499.04
190.596	554.05
190.977	615.82
191.357	595.42
191.737	615.25
192.118	622.05
192.498	646.96
192.878	644.13
193.258	677.53
193.639	632.24
194.019	697.33
194.399	701.29
194.779	684.32
195.159	703.56
195.54	723.35
195.92	732.97
196.3	744.28
196.68	795.14
197.06	776.5
197.44	764.06
197.82	781.58
198.2	786.67
198.58	783.84
198.959	782.15
199.339	822.82
199.719	815.48
200.099	870.81
200.479	843.15
200.858	829.6
201.238	825.08
201.618	836.94
201.998	858.4
202.377	874.2
202.757	879.84
203.136	883.23
203.516	902.98
203.896	952.61
204.275	956.55
204.655	961.06
205.034	969.52
205.414	994.31
205.793	1017.97
206.172	1025.3
206.552	1017.41
206.931	1066.4
207.31	1041.63
207.69	1048.95
208.069	1078.22
208.448	1085.53
208.827	1095.1
209.207	1139.53
209.586	1193.5
209.965	1173.27
210.344	1209.23
210.723	1244.05
211.102	1281.66
211.481	1296.25
211.86	1271
212.239	1369.72
212.618	1368.04
212.997	1379.81
213.376	1410.63
213.755	1433.59
214.134	1429.11
214.513	1522.03
214.891	1498.53
215.27	1537.13
215.649	1620.42
216.028	1660.07
216.406	1633.82
216.785	1744.89
217.164	1733.73
217.542	1819.03
217.921	1838.52
218.3	1922.59
218.678	1947.62
219.057	2014.33
219.435	2077.1
219.814	2171.44
220.192	2211.91
220.57	2298.88
220.949	2340.39
221.327	2473.07
221.705	2578.51
222.084	2586.23
222.462	2709.13
222.84	2812.04
223.218	2889.55
223.597	3028.44
223.975	3117.79
224.353	3268.31
224.731	3353.57
225.109	3533.63
225.487	3625.69
225.865	3781.25
226.243	3922.41
226.621	4143.99
226.999	4249.97
227.377	4469.62
227.755	4582.73
228.133	4792.95
228.511	4882.58
228.889	5130.08
229.266	5271.73
229.644	5576.21
230.022	5701.77
230.4	5904.11
230.777	6137.78
231.155	6357.69
231.533	6489.09
231.91	6781.86
232.288	7030.79
232.665	7239.35
233.043	7510.7
233.42	7712.6
233.798	7914.65
234.175	8235.71
234.553	8358.09
234.93	8658.29
235.307	8914.43
235.685	9174.66
236.062	9340.83
236.439	9542.72
236.816	9893.37
237.194	10122.54
237.571	10249.24
237.948	10545.12
238.325	10788.51
238.702	10865.82
239.079	11229.49
239.456	11473.83
239.833	11674.3
240.21	12001.32
240.587	12163.84
240.964	12453.69
241.341	12721.96
241.718	13048.11
242.095	13184.64
242.472	13301.52
242.849	13530.58
243.225	13800.92
243.602	13992.96
243.979	14041.44
244.356	14442.43
244.732	14756.07
245.109	14877.13
245.486	15081.76
245.862	15336.96
246.239	15558.65
246.615	15769.24
246.992	15967.78
247.368	15998.54
247.745	16420.97
248.121	16544.83
248.497	16854.27
248.874	17058.11
249.25	17194.11
249.626	17369.11
250.003	17587.01
250.379	17843.32
250.755	17957.85
251.131	18274.62
251.507	18352.55
251.884	18595.63
252.26	18776.02
252.636	19001.19
253.012	19048.97
253.388	19400.56
253.764	19439.95
254.14	19516.74
254.516	19655.03
254.892	19663.4
255.268	20120.43
255.643	20061.41
256.019	20297.47
256.395	20298.45
256.771	20457.26
257.147	20598.84
257.522	20771.37
257.898	21011.67
258.274	20946.32
258.649	21128.12
259.025	21362.94
259.4	21262.24
259.776	21496.55
260.151	21624.74
260.527	21593.31
260.902	21721.49
261.278	21730.33
261.653	21848.19
262.028	21792.7
262.404	21979.79
262.779	21900.73
263.154	22250.82
263.53	22322.98
263.905	22233.14
264.28	22310.22
264.655	22311.69
265.03	22188.46
265.405	22395.64
265.781	22493.33
266.156	22543.41
266.531	22560.59
266.906	22499.22
267.281	22812.89
267.655	22444.73
268.03	22494.32
268.405	22473.21
268.78	22567.95
269.155	22651.4
269.53	22632.25
269.904	22583.17
270.279	22690.18
270.654	22785.89
271.029	22430.99
271.403	22709.81
271.778	22658.76
272.152	22737.3
272.527	22577.28
272.901	22896.33
273.276	22981.74
273.65	22878.17
274.025	22744.66
274.399	22643.05
274.774	22865.41
275.148	22864.43
275.522	22971.92
275.897	22816.33
276.271	22747.61
276.645	22985.17
277.019	23021.98
277.393	23142.23
277.768	23120.64
278.142	22836.45
278.516	22901.24
278.89	22905.17
279.264	22944.93
279.638	23140.27
280.012	23021.98
280.386	22846.76
280.76	22861.48
281.133	23057.81
281.507	23031.31
281.881	23171.19
282.255	23038.67
282.629	22831.05
283.002	22762.33
283.376	22875.23
283.75	22721.1
284.123	22854.61
284.497	22760.37
284.87	22828.6
285.244	22876.7
285.618	22798.66
285.991	22674.96
286.364	22685.76
286.738	22704.9
287.111	22835.47
287.485	22537.02
287.858	22667.6
288.231	22423.62
288.605	22478.61
288.978	22615.07
289.351	22221.85
289.724	22248.85
290.097	22305.31
290.47	22335.75
290.843	22177.17
291.217	22064.74
291.59	21876.18
291.963	21986.66
292.336	21785.33
292.708	21785.33
293.081	21607.06
293.454	21814.31
293.827	21544.69
294.2	21329.05
294.573	21543.21
294.945	21136.47
295.318	21237.68
295.691	21179.7
296.064	21105.52
296.436	21046.06
296.809	21030.34
297.181	20824.93
297.554	20795.45
297.926	20790.04
